TOTAL POTENTIALS
     50.00     50.00     60.00     70.00   5.57315E+00 0.0
     50.00     50.00     70.00     80.00   1.88305E+00 0.0
     50.00     50.00     80.00     90.00   9.11779E-01 0.0
     50.00     50.00     90.00    100.00   5.26889E-01 0.0
     60.00     60.00     70.00     80.00   4.41226E+00 0.0
     60.00     60.00     80.00     90.00   1.59062E+00 0.0
     60.00     60.00     90.00    100.00   8.15661E-01 0.0
     70.00     70.00     80.00     90.00   4.33220E+00 0.0
     70.00     70.00     90.00    100.00   1.59547E+00 0.0
     80.00     80.00     90.00    100.00   4.39978E+00 0.0
